time,weight,,,,
84.984506,0,,,,
85.08044,0,,,,
85.194314,0,,,,
85.28909,0,,,,
85.400899,0,,,,
85.496043,0,,,,
85.609186,0,,,,
85.72116,0,,,,
85.818167,0,,,,
85.929177,0,,,,
86.025249,0,,,,
86.123095,0,,,,
86.234561,0,,,,
86.329138,0,,,,
86.441726,0,,,,
86.553449,0,,,,
86.64918,0,,,,
86.762672,0.1,,,,
86.859159,0.1,,,,
86.954471,0.1,,,,
87.065901,0.1,,,,
87.162213,0.1,,,,
87.274567,0.1,,,,
87.385957,0.1,,,,
87.484239,0.1,,,,
87.579212,0.1,,,,
87.690331,0.1,,,,
87.786521,0.1,,,,
87.899077,0.1,,,,
88.010524,0.1,,,,
88.106576,0.1,,,,
88.219105,0.1,,,,
88.314569,0.1,,,,
88.427289,0.2,,,,
88.52452,0.2,,,,
88.63436,0.2,,,,
88.731041,0.2,,,,
88.844409,0.3,,,,
88.939156,0.3,,,,
89.051562,0.3,,,,
89.147377,0.3,,,,
89.258987,0.3,,,,
89.355267,0.3,,,,
89.466499,0.3,,,,
89.563097,0.3,,,,
89.677306,0.2,,,,
89.786974,0.2,,,,
89.884544,0.2,,,,
89.995388,0.2,,,,
90.091887,0.2,,,,
90.204496,0.2,,,,
90.300223,0.2,,,,
90.412475,0.2,,,,
90.508275,0.2,,,,
90.620127,0.2,,,,
90.717562,0.2,,,,
90.82853,0.2,,,,
90.92422,0.2,,,,
91.036152,0.2,,,,
91.132792,0.2,,,,
91.244524,0.2,,,,
91.340652,0.2,,,,
91.454377,0.2,,,,
91.547897,0.2,,,,
91.661314,0.2,,,,
91.758359,0.3,,,,
91.868872,0.3,,,,
91.964545,0.3,,,,
92.078903,0.3,,,,
92.174137,0.3,,,,
92.285123,0.3,,,,
92.383092,0.3,,,,
92.494244,0.3,,,,
92.589284,0.3,,,,
92.701782,0.3,,,,
92.797963,0.3,,,,
92.909182,0.3,,,,
93.022965,0.3,,,,
93.117944,0.3,,,,
93.230253,0.3,,,,
93.327703,0.3,,,,
93.438302,0.3,,,,
93.534203,0.3,,,,
93.646426,0.3,,,,
93.744246,0.3,,,,
93.854362,0.3,,,,
93.950393,0.3,,,,
94.046053,0.3,,,,
94.158613,0.3,,,,
94.254516,0.3,,,,
94.367071,0.3,,,,
94.462804,0.3,,,,
94.57481,0.3,,,,
94.670887,0.3,,,,
94.784498,0.4,,,,
94.879191,0.4,,,,
94.992764,0.4,,,,
95.087573,0.4,,,,
95.198553,0.4,,,,
95.295497,0.4,,,,
95.408961,0.4,,,,
95.503418,0.4,,,,
95.615587,0.4,,,,
95.727735,0.4,,,,
95.823755,0.4,,,,
95.937396,0.4,,,,
96.047766,0.4,,,,
96.1445,0.4,,,,
96.257612,0.4,,,,
96.35239,0.4,,,,
96.447766,0.4,,,,
96.560392,0.4,,,,
96.657819,0.4,,,,
96.76799,0.4,,,,
96.864505,0.4,,,,
96.977392,0.4,,,,
97.074239,0.4,,,,
97.184056,0.4,,,,
97.280569,0.4,,,,
97.393255,0.4,,,,
97.489174,0.4,,,,
97.600399,0.4,,,,
97.697048,0.4,,,,
97.809186,0.4,,,,
97.905108,0.4,,,,
98.016906,0.4,,,,
98.113637,0.4,,,,
98.226908,0.4,,,,
98.320972,0.4,,,,
98.434406,0.4,,,,
98.529178,0.4,,,,
98.641666,0.4,,,,
98.739176,0.4,,,,
98.849046,0.4,,,,
98.961697,0.4,,,,
99.059248,0.4,,,,
99.170063,0.4,,,,
99.267418,0.4,,,,
99.378007,0.4,,,,
99.473135,0.5,,,,
99.585799,0.5,,,,
99.682236,0.5,,,,
99.794319,0.5,,,,
99.890296,0.4,,,,
100.004247,0.4,,,,
100.098396,0.4,,,,
100.21039,0.4,,,,
100.306432,0.4,,,,
100.418993,0.4,,,,
100.514551,0.4,,,,
100.627036,0.4,,,,
100.724425,0.4,,,,
100.834143,0.4,,,,
100.930906,0.4,,,,
101.042444,0.4,,,,
101.139116,0.4,,,,
101.251072,0.4,,,,
101.34886,0.4,,,,
101.459193,0.4,,,,
101.556965,0.4,,,,
101.667225,0.4,,,,
101.764507,0.4,,,,
101.876083,0.4,,,,
101.989186,0.4,,,,
102.083255,0.4,,,,
102.195725,0.4,,,,
102.292047,0.4,,,,
102.404547,0.4,,,,
102.500304,0.5,,,,
102.612256,0.5,,,,
102.708869,0.5,,,,
102.820169,0.5,,,,
102.917142,0.5,,,,
103.029134,0.5,,,,
103.124589,0.5,,,,
103.238131,0.5,,,,
103.333893,0.6,,,,
103.444569,0.6,,,,
103.540807,0.6,,,,
103.637062,0.6,,,,
103.749143,0.6,,,,
103.844548,0.6,,,,
103.956998,0.6,,,,
104.068622,0.6,,,,
104.164366,0.5,,,,
104.276928,0.5,,,,
104.372674,0.6,,,,
104.484919,0.6,,,,
104.580705,0.6,,,,
104.693427,0.6,,,,
104.789176,0.6,,,,
104.900918,0.6,,,,
104.997347,0.6,,,,
105.10909,0.6,,,,
105.204834,0.6,,,,
105.31757,0.6,,,,
105.413133,0.6,,,,
105.525825,0.6,,,,
105.621922,0.6,,,,
105.734244,0.6,,,,
105.830192,0.6,,,,
105.942687,0.6,,,,
106.038094,0.6,,,,
106.150202,0.6,,,,
106.246762,0.6,,,,
106.359182,0.6,,,,
106.454622,0.6,,,,
106.566381,0.6,,,,
106.678883,0.6,,,,
106.774548,0.6,,,,
106.887098,0.6,,,,
106.98291,0.6,,,,
107.095006,0.6,,,,
107.191215,0.6,,,,
107.303175,0.6,,,,
107.399554,0.7,,,,
107.51141,0.7,,,,
107.607209,0.7,,,,
107.719139,0.7,,,,
107.816462,0.7,,,,
107.929139,0.7,,,,
108.024547,0.7,,,,
108.135203,0.7,,,,
108.231897,0.7,,,,
108.344245,0.7,,,,
108.440304,0.7,,,,
108.553751,0.7,,,,
108.648388,0.7,,,,
108.760205,0.7,,,,
108.857779,0.7,,,,
108.969146,0.7,,,,
109.064308,0.7,,,,
109.17544,0.7,,,,
109.27258,0.7,,,,
109.384462,0.7,,,,
109.480398,0.7,,,,
109.591808,0.7,,,,
109.704537,0.7,,,,
109.800737,0.7,,,,
109.912918,0.7,,,,
110.009119,0.7,,,,
110.121118,0.7,,,,
110.217205,0.7,,,,
110.329192,0.7,,,,
110.425178,0.7,,,,
